numer_insee;nom_station;lat;lon
35057003;LA CHAPELLE-BOUEXIC (LA-CHAPELLE-BOUEXIC);47.9215;-1.9408
35110003;FEINS (FEINS SA);48.3268;-1.5968
35162003;LOUVIGNE-DU-DESERT;48.4793;-1.1298
35202001;LA NOE-BLANCHE (LA-NOE-BLANCHE);47.7801;-1.765
35228001;PLEURTUIT (DINARD);48.5848;-2.0763
35281001;SAINT-JACQUES-DE-LA-LANDE (RENNES-ST JACQUES);48.0688;-1.734
44020001;BOUGUENAIS (NANTES-BOUGUENAIS);47.15;-1.6088
44103001;MONTOIR-DE-BRETAGNE (ST NAZAIRE-MONTOIR);47.3138;-2.1545
44110002;NORT-SUR-ERDRE;47.4251;-1.5136
44181001;MACHECOUL-SAINT-MEME (ST-MEME-LE-TENU);47.0056;-1.7825
49008001;ANGRIE;47.5616;-0.9703
49020001;BEAUCOUZE;47.479;-0.6143
49099003;CHOLET;47.0795;-0.8805
49138001;LES BOIS D'ANJOU (FONTAINE-GUERIN);47.4931;-0.1678
49188001;MARCE;47.5618;-0.317
49191001;TERRANJOU (MARTIGNE-BRIAND);47.2525;-0.4358
53096004;ERNEE;48.2956;-0.9625
53110002;GREZ-EN-BOUERE;47.891;-0.5423
53116003;LE HORPS;48.4056;-0.4408
53130008;LAVAL (LAVAL-ETRONNIER);48.0306;-0.7465
56009003;BANGOR (BELLE-ILE_AERO);47.3256;-3.1968
56017003;BIGNAN;47.8843;-2.7288
56069001;GROIX (ILE DE GROIX);47.6523;-3.5023
56151001;NOYAL-PONTIVY (PONTIVY AERODROME);48.0556;-2.9166
56159001;PLEUCADEUC;47.7655;-2.3871
56165003;PLOERMEL;47.9508;-2.3975
56185001;QUEVEN (LORIENT-LANN BIHOUE);47.7628;-3.4356
56186003;QUIBERON (QUIBERON-AERODROME);47.4798;-3.099
56243001;SENE (VANNES-SENE);47.6045;-2.7141
59183001;DUNKERQUE;51.0558;2.3395
59343001;FRETIN (LILLE-LESQUIN);50.57;3.0975
59534001;SAINT-HILAIRE-SUR-HELPE (ST-HILAIRE-SUR-HELPE);50.1455;3.9251
59580003;STEENVOORDE;50.8298;2.5688
59606004;PROUVY (VALENCIENNES);50.3283;3.461
61001001;CERISE (ALENCON);48.4455;0.1101
61006005;ARGENTAN;48.7181;0.0115
61169003;LA LANDE-PATRY (FLERS);48.75;-0.5895
61214002;SAINT-SULPICE-SUR-RISLE (L AIGLE);48.7585;0.6623
61404001;SAINT-HILAIRE-LE-CHATEL (ST-HILAIRE);48.5558;0.5295
62054001;AUDINGHEN (CAP-GRIS-NEZ);50.8696;1.5828
62160001;BOULOGNE-SUR-MER (BOULOGNE-SEM);50.7325;1.5996
62298001;EPINOY (CAMBRAI-EPINOY);50.2255;3.1638
62516002;LILLERS;50.5795;2.4965
62548002;MARCK (CALAIS-MARCK);50.9598;1.9561
62685001;RADINGHEM;50.5491;2.1136
62784001;SAULTY;50.2221;2.5221
62826001;LE TOUQUET-PARIS-PLAGE (LE-TOUQUET);50.5145;1.6228
62873001;WANCOURT (ARRAS);50.2558;2.87
72172003;LE LUART;48.0763;0.591
72175002;LUCHE-PRINGE;47.713;0.0881
72181001;LE MANS;47.9458;0.1941
72255001;ROUESSE-VASSE;48.1393;-0.2256
80001001;ABBEVILLE;50.136;1.834
80086002;BERNAVILLE;50.1393;2.1805
80182003;CAYEUX-SUR-MER;50.1871;1.5211
80379002;GLISY (AMIENS-GLISY);49.872;2.3825
80523001;BRAY-SUR-SOMME (MEAULTE);49.9718;2.7038
80682001;ROUVROY-EN-SANTERRE;49.7651;2.6983
